Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Prices_in_USD/tonne,Flag,Flag Description
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,1995,1995,7021,Annual value,USD,23,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,1995,1995,7021,Annual value,USD,14,,Official data
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),156,Sugar cane,1995,1995,7021,Annual value,USD,16,,Official data
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),156,Sugar cane,1996,1996,7021,Annual value,USD,15,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,1996,1996,7021,Annual value,USD,15,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,1997,1997,7021,Annual value,USD,16,,Official data
PP,Producer Prices,165,Pakistan,5532,Producer Price (USD/tonne),156,Sugar cane,1997,1997,7021,Annual value,USD,15,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,1998,1998,7021,Annual value,USD,15,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,1998,1998,7021,Annual value,USD,13,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,1999,1999,7021,Annual value,USD,13,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,1999,1999,7021,Annual value,USD,8,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,2000,2000,7021,Annual value,USD,10,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,2000,2000,7021,Annual value,USD,13,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,2001,2001,7021,Annual value,USD,13,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,2001,2001,7021,Annual value,USD,11,,Official data
PP,Producer Prices,21,Brazil,5532,Producer Price (USD/tonne),156,Sugar cane,2002,2002,7021,Annual value,USD,9,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,2002,2002,7021,Annual value,USD,14,,Official data
PP,Producer Prices,100,India,5532,Producer Price (USD/tonne),156,Sugar cane,2003,2003,7021,Annual value,USD,16,,Official data
